Plate	Well	GeneID	Entrez_gene_ID	sublib
1	A01	allstar		
1	A02	allstar		
1	A03	TTK	7272	KIN
1	A04	PIK3CA	5290	KIN
1	A05	SYK	6850	KIN
1	A06	KIAA1804	84451	KIN
1	A07	EPHA8	2046	KIN
1	A08	NAGK	55577	KIN
1	A09	DMPK	1760	KIN
1	A10	IRAK1	3654	KIN
1	A11	COASY	80347	KIN
1	A12	EEF2K	29904	KIN
1	A13	MYO3B	140469	KIN
1	A14	ANKK1	255239	KIN
1	A15	PRKWNK2	65268	KIN
1	A16	MAP3K5	4217	KIN
1	A17	PTK2	5747	KIN
1	A18	PRKAA1	5562	KIN
1	A19	FER	2241	KIN
1	A20	RPS6KA4	8986	KIN
1	A21	CAMK2B	816	KIN
1	A22	CALM1	801	KIN
1	A23	allstar		
1	A24	allstar		
1	B01	allstar		
1	B02	allstar		
1	B03	MAP3K2	10746	KIN
1	B04	STK31	56164	KIN
1	B05	LATSG2	26524	KIN
1	B06	AKT3	10000	KIN
1	B07	P101-PI3K	23533	KIN
1	B08	NLK	51701	KIN
1	B09	DGKG	1608	KIN
1	B10	PFKFB3	5209	KIN
1	B11	MAST3	23031	KIN
1	B12	TESK2	10420	KIN
1	B13	EFNA3	1944	KIN
1	B14	EPHA7	2045	KIN
1	B15	BCKDK	10295	KIN
1	B16	STK35	140901	KIN
1	B17	ITPKA	3706	KIN
1	B18	STK11	6794	KIN
1	B19	NEK6	10783	KIN
1	B20	JAK2	3717	KIN
1	B21	BLK	640	KIN
1	B22	BRD2	6046	KIN
1	B23	allstar		
1	B24	allstar		
1	C01	allstar		
1	C02	allstar		
1	C03	ACVRL1	94	KIN
1	C04	FLJ32685	152110	KIN
1	C05	LYN	4067	KIN
1	C06	ITPKC	80271	KIN
1	C07	PAPSS1	9061	KIN
1	C08	EPHA5	2044	KIN
1	C09	MAPK4	5596	KIN
1	C10	MLCK	91807	KIN
1	C11	MASTL	84930	KIN
1	C12	PSKH1	5681	KIN
1	C13	TRIB1	10221	KIN
1	C14	AURKC	6795	KIN
1	C15	BRD3	8019	KIN
1	C16	PRKCE	5581	KIN
1	C17	FLJ34389	197259	KIN
1	C18	AK1	203	KIN
1	C19	HK1	3098	KIN
1	C20	TRPM6	140803	KIN
1	C21	THNSL1	79896	KIN
1	C22	CLK1	1195	KIN
1	C23	allstar		
1	C24	allstar		
1	D01	allstar		
1	D02	allstar		
1	D03	DGKK	139189	KIN
1	D04	CDKN2C	1031	KIN
1	D05	MPP2	4355	KIN
1	D06	MAP2K3	5606	KIN
1	D07	BUB1	699	KIN
1	D08	LCK	3932	KIN
1	D09	UHMK1	127933	KIN
1	D10	CIB2	10518	KIN
